number,value,datetime_start,datetime_complete,duration,params_beta1,params_feature_maps,params_latent_dim,params_lr,state
17,1.110452599917786,2026-04-18 16:47:01.163058,2026-04-18 16:48:03.311298,0 days 00:01:02.148240,0.0,96,64,0.00020124633786554108,PRUNED
18,1.860893990420088,2026-04-18 16:48:03.436939,2026-04-18 16:49:00.437035,0 days 00:00:57.000096,0.5,96,64,0.00014356212134130405,PRUNED
19,0.8212401285956178,2026-04-18 16:49:00.571772,2026-04-18 16:51:58.372123,0 days 00:02:57.800351,0.0,64,100,0.0003273123869493239,COMPLETE
20,0.8068485859828659,2026-04-18 16:51:58.547383,2026-04-18 16:54:58.290888,0 days 00:02:59.743505,0.0,64,100,0.0004987691077757705,COMPLETE
21,1.097177202188516,2026-04-18 16:54:58.458967,2026-04-18 16:56:04.089015,0 days 00:01:05.630048,0.0,64,100,0.00045616767885659946,PRUNED
22,0.7947788268704957,2026-04-18 16:56:04.242700,2026-04-18 16:58:58.838547,0 days 00:02:54.595847,0.0,64,100,0.00037796394821210165,COMPLETE
23,0.812081468256214,2026-04-18 16:58:59.027839,2026-04-18 17:01:48.467780,0 days 00:02:49.439941,0.0,64,100,0.0004983385346461011,COMPLETE
24,0.7972540870497499,2026-04-18 17:01:48.636458,2026-04-18 17:04:45.678279,0 days 00:02:57.041821,0.0,64,100,0.00048671332070909356,COMPLETE
25,1.0915811944611464,2026-04-18 17:04:45.888801,2026-04-18 17:05:52.072104,0 days 00:01:06.183303,0.0,64,100,0.0003858567492738429,PRUNED
26,1.8284817451163182,2026-04-18 17:05:52.211769,2026-04-18 17:06:55.395169,0 days 00:01:03.183400,0.5,64,100,0.0004060157283658551,PRUNED
27,1.07986253273638,2026-04-18 17:06:55.543735,2026-04-18 17:07:58.942335,0 days 00:01:03.398600,0.0,64,100,0.0004985144547203018,PRUNED
28,1.1057310557063622,2026-04-18 17:07:59.118935,2026-04-18 17:09:03.184796,0 days 00:01:04.065861,0.0,64,100,0.0003819750866001845,PRUNED
29,1.1049658052528961,2026-04-18 17:09:03.345778,2026-04-18 17:10:06.759259,0 days 00:01:03.413481,0.0,64,100,0.00030040826174697555,PRUNED
30,1.0919787182083613,2026-04-18 17:10:06.937170,2026-04-18 17:11:11.837930,0 days 00:01:04.900760,0.0,64,100,0.0004333342584003189,PRUNED
31,1.088254628302176,2026-04-18 17:11:12.038504,2026-04-18 17:12:16.435895,0 days 00:01:04.397391,0.0,64,100,0.0004962153816006415,PRUNED
32,1.1143267252777196,2026-04-18 17:12:16.641764,2026-04-18 17:13:21.487887,0 days 00:01:04.846123,0.0,64,100,0.0004988126990698011,PRUNED
33,1.0840327679356443,2026-04-18 17:13:21.638278,2026-04-18 17:14:28.347904,0 days 00:01:06.709626,0.0,64,100,0.0004164638418322029,PRUNED
34,1.085281499578983,2026-04-18 17:14:28.502754,2026-04-18 17:15:32.996291,0 days 00:01:04.493537,0.0,64,128,0.0003626093650999806,PRUNED
